sample_id,country,Bacteroides,Ruminococcus,Blautia,Prevotella,[Ruminococcus],Bifidobacterium,Parabacteroides,Faecalibacterium,Dialister,Dorea,Lachnospira,Oscillospira
TS13.418619,USA,34.188,24.189,10.913,0.014,2.447,2.41,1.22,5.746,0.019,2.929,5.847,1.461
USygt15.M.418634,USA,45.043,4.819,5.99,0.007,1.513,7.424,3.004,6.279,5.099,1.752,5.122,1.298
USygt14.M.418857,USA,39.006,17.952,4.041,0.007,0.414,3.613,2.601,2.524,0.002,0.912,2.7,3.528
h85M.1.418596,Malawi,0.248,5.414,6.487,45.56,0.468,0.04,0.219,5.221,7.905,1.596,0.691,1.953
USchp33Mom.418698,USA,20.263,36.798,8.238,1.931,2.502,4.082,5.485,2.462,4.963,1.83,4.527,1.406
USygt50.F.418499,USA,29.205,19.41,13.876,0.02,0.927,4.988,4.234,2.611,3.747,1.192,1.487,2.476
TS194.418607,USA,44.924,16.654,20.071,0.003,2.03,0.412,0.613,1.004,0.001,1.975,1.796,2.505
TS109.418691,USA,59.776,6.441,11.151,1.549,0.986,0.977,3.753,0.496,0.002,0.804,3.676,1.885
USygt48.F.418551,USA,6.054,8.165,20.818,2.467,4.704,13.67,4.303,7.689,15.11,3.078,2.116,1.709
TS7.418860,USA,20.074,11.461,9.251,19.042,4.03,0.535,3.003,2.52,0.027,2.328,3.22,1.462
USygt44.M.418360,USA,28.214,26.268,4.62,0.004,0.823,6.314,6.538,1.403,2.386,0.635,7.555,3.855
h165M.1.418394,Malawi,1.03,10.806,5.107,52.417,0.849,0.056,0.401,6.281,0.012,0.759,3.775,1.11
TS14.418541,USA,1.229,25.561,39.532,0.091,6.208,9.912,0.117,1.235,4.457,2.71,1.023,1.025
USygt22.F.418477,USA,15.135,1.449,4.098,40.532,1.51,0.002,3.226,0.227,0.001,1.439,0.25,1.553
USygt6.M.418593,USA,24.299,26.07,16.211,0.004,2.981,4.529,4.214,2.477,0.002,1.738,1.855,2.811
USygt13.M.418644,USA,13.471,10.447,4.007,35.055,0.834,0.365,1.47,4.642,0.021,1.322,0.169,1.289
USygt9.M.418560,USA,22.351,21.363,30.037,0.01,0.861,0.387,0.395,4.56,0.033,2.965,1.72,3.095
USygt26.M.418352,USA,28.915,19.576,21.338,0.887,4.164,2.86,3.802,0.184,1.942,2.47,1.052,0.758
USygt28.M.418808,USA,41.086,13.828,20.35,0.007,9.255,2.494,0.004,0.436,0.092,0.704,0.016,1.626
USygt11.M.418479,USA,12.16,3.983,4.977,36.827,2.585,0.116,4.866,3.452,0.007,1.746,1.246,0.935
h305M.1.418771,Malawi,1.108,7.341,4.453,33.351,0.297,0.215,0.369,2.163,10.086,0.223,0.18,6.182
USygt47.M.418401,USA,25.976,18.832,23.584,0.045,11.03,0.017,0.003,0.142,0.006,6.152,0.377,2.176
TS193.418750,USA,23.201,17.791,37.334,4.201,2.621,2.491,1.677,0.74,0.015,3.459,0.292,0.748
USygt30.F.418729,USA,31.729,32.412,11.082,0.01,1.473,2.146,4.374,1.607,0.003,1.412,3.607,0.869
h208M.1.418731,Malawi,0.269,6.113,7.778,50.824,0.212,0.033,0.128,1.067,6.271,0.574,6.487,1.027
USchp25Mom.418780,USA,34.538,11.989,5.585,0.012,0.255,3.168,2.784,3.595,3.327,1.236,2.72,0.863
USygt5.M.418357,USA,8.667,28.131,9.266,6.565,2.035,0.009,2.194,2.01,12.642,2.449,1.615,2.825
F3T1pre4.418699,USA,55.291,16.356,6.279,0.022,3.834,0.006,1.984,2.14,5.019,0.94,0.654,0.996
USygt2.M.418457,USA,40.215,11.225,8.209,0.061,5.394,0.098,8.739,9.105,0.021,1.662,0.382,2.725
USchp60Mom.418566,USA,5.848,27.523,22.661,0.548,4.818,6.044,0.716,8.21,0.914,3.855,0.869,0.17
USygt8.M.418616,USA,28.163,18.964,17.01,0.005,2.68,6.614,1.761,2.457,5.482,1.727,2.378,0.843
TS1.418828,USA,28.036,34.43,1.711,0.007,1.971,1.489,3.896,5.632,3.528,0.699,3.983,2.783
USygt38.F.418465,USA,22.15,15.937,9.139,2.972,2.306,24.293,0.66,2.076,0.003,1.285,2.939,0.755
h68M.1.418773,Malawi,0.33,3.825,1.52,57.855,0.467,0.137,0.122,3.986,5.064,0.294,1.13,1.201
USygt54.F.418487,USA,20.768,33.383,5.82,9.961,3.007,2.604,1.576,1.219,0.005,3.125,2.031,1.247
USygt36.M.418734,USA,18.053,18.099,21.998,8.022,0.57,4.041,12.273,0.342,0.487,3.562,0.54,0.94
h122M.1.418534,Malawi,0.077,4.064,1.509,36.429,0.193,0.184,0.311,2.396,1.303,0.244,0.931,0.962
USygt37.F.418676,USA,30.835,8.847,3.699,0.012,0.241,20.216,2.797,8.139,0.923,0.947,1.854,3.257
USygt34.F.418402,USA,9.448,46.102,16.45,0.01,2.384,4.357,1.352,2.495,8.233,2.067,1.574,0.391
USygt20.F.418339,USA,16.819,44.688,18.171,0.076,2.831,1.049,1.919,1.226,4.317,3.165,0.421,0.397
USygt24.M.418730,USA,60.595,2.785,13.884,0.01,4.695,0.009,0.004,0.527,3.675,1.532,2.893,2.576
USygt53.M.418452,USA,56.61,2.943,7.084,0.106,7.038,3.555,6.782,0.057,0.008,2.179,1.843,3.398
USygt20.M.418572,USA,17.244,18.013,16.29,0.013,10.322,3.954,3.219,1.268,4.682,4.558,3.113,3.786
USygt49.F.418818,USA,6.111,16.688,17.089,0.005,7.066,5.924,0.003,0.429,2.244,3.081,0.397,0.145
h147M.1.418531,Malawi,0.08,3.067,2.16,46.282,0.151,13.115,0.173,2.858,5.005,0.264,0.998,0.497
TS26.418393,USA,50.332,22.593,9.699,0.027,2.689,0.238,2.3,0.139,0.016,2.178,1.323,1.595
USygt3.M.418496,USA,22.622,42.234,4.626,0.033,0.417,0.01,3.392,0.025,0.009,0.644,0.01,2.67
USygt16.M.418462,USA,49.05,18.786,3.351,0.011,0.947,0.298,3.085,8.379,8.797,0.36,3.416,0.681
TS185.418675,USA,30.746,5.294,25.608,0.048,4.858,7.853,0.138,7.378,3.469,4.338,1.69,1.0
USygt54.M.418445,USA,37.722,16.325,17.237,0.004,4.901,4.441,3.807,2.99,0.001,2.255,1.3,0.735
USygt27.F.418639,USA,15.289,32.971,13.767,0.011,4.063,5.43,1.869,1.727,0.002,5.136,1.314,0.601
TS2.418517,USA,23.107,29.189,3.588,0.006,10.017,0.052,7.069,1.046,2.071,2.436,0.182,3.317
USygt17.M.418444,USA,26.15,9.418,19.847,0.007,21.56,0.005,0.002,0.002,3.66,1.626,2.022,9.086
USygt40.F.418369,USA,14.526,24.625,25.244,0.01,3.558,0.015,0.193,1.646,0.005,7.507,0.219,0.457
USygt14.F.418375,USA,14.662,7.804,13.075,26.286,1.533,0.236,2.338,1.698,0.002,1.626,3.841,1.035
USygt13.F.418411,USA,51.506,11.829,4.601,0.019,1.047,0.94,3.549,11.412,4.092,1.302,2.388,1.513
h101M.1.418586,Malawi,1.802,8.493,4.39,40.184,0.305,0.019,1.652,2.735,1.033,0.811,0.342,1.679
USygt51.F.418349,USA,5.107,8.152,8.531,35.801,0.741,1.443,2.165,1.493,11.013,3.653,0.82,0.936
USygt30.M.418398,USA,11.874,29.722,3.945,0.016,1.186,18.95,1.646,0.126,0.12,1.234,1.588,0.843
USygt1.M.418373,USA,13.561,28.806,27.365,0.003,3.426,0.909,0.878,1.381,0.002,2.538,0.432,1.655
h37M.1.418863,Malawi,0.273,5.351,3.472,43.944,0.333,0.017,0.511,3.339,7.173,0.68,1.857,1.147
USygt21.F.418579,USA,68.896,0.479,2.841,0.167,6.318,0.016,2.524,0.36,0.011,1.561,0.709,2.865
h273M.1.418507,Malawi,0.314,5.819,7.883,47.495,0.339,0.082,0.173,5.466,1.429,0.636,0.526,1.23
USygt23.M.418612,USA,18.439,37.605,20.528,0.002,3.404,0.149,2.42,0.914,0.001,2.459,2.123,0.448
USygt1.F.418592,USA,14.175,22.101,20.475,10.522,2.624,0.008,3.066,2.14,0.001,2.705,3.213,2.754
h60M.1.418694,Malawi,1.382,8.15,7.844,35.085,0.573,0.024,0.201,10.374,0.827,0.662,1.481,1.264
h279M.1.418530,Malawi,0.012,3.31,2.389,42.641,0.41,0.041,0.061,3.942,4.867,0.106,1.123,0.41
USygt34.M.418823,USA,63.445,1.209,12.83,0.002,2.203,0.036,3.196,0.829,6.37,1.522,0.268,0.912
TS128.418470,USA,39.296,17.585,16.821,0.024,1.091,4.64,2.46,1.155,0.015,0.961,3.669,2.121
USygt22.M.418388,USA,27.474,17.046,16.185,3.41,0.883,9.811,8.418,2.926,1.536,1.245,1.995,1.002
USygt4.M.418367,USA,10.342,48.789,22.349,0.01,5.279,0.004,0.405,0.028,0.004,2.308,0.799,3.604
USygt39.F.418756,USA,47.535,3.452,10.895,0.006,2.987,0.128,10.213,3.778,0.005,2.583,3.52,1.546
USygt38.M.418740,USA,47.836,23.121,6.684,0.004,4.048,0.231,0.002,1.174,2.749,1.576,1.788,2.628
USygt12.M.418543,USA,41.913,18.597,4.962,0.035,1.304,0.068,5.418,2.776,2.912,1.419,4.243,2.502
USygt9.F.418438,USA,37.112,3.604,16.072,0.005,7.243,0.008,3.537,1.335,0.003,4.045,2.288,0.612
h257M.1.418454,Malawi,4.585,3.734,11.587,60.637,0.883,1.292,0.17,8.392,0.039,2.209,2.203,0.187
TS163.418636,USA,41.985,6.16,5.387,0.027,7.548,12.165,0.01,0.86,2.765,2.179,5.251,6.337
USygt48.M.418794,USA,7.244,2.061,19.982,40.753,1.158,2.085,3.034,2.886,11.64,3.162,0.357,0.696
h78M.1.418725,Malawi,0.085,0.991,3.407,60.694,0.586,0.016,0.051,4.499,3.776,0.36,0.683,0.42
USygt12.F.418502,USA,44.199,2.48,17.748,0.008,9.259,6.423,3.602,1.62,2.003,2.472,0.655,0.922
TS5.418546,USA,10.209,2.366,57.578,0.056,11.297,0.06,0.063,4.276,0.016,6.098,0.138,1.634
USygt40.M.418504,USA,27.658,18.07,26.408,0.002,5.302,0.01,4.328,0.004,0.003,3.475,4.037,2.766
USygt42.M.418663,USA,24.843,24.584,21.168,0.002,7.832,0.003,0.002,2.416,0.001,7.141,0.548,2.333
USygt4.F.418451,USA,40.543,5.96,20.332,0.002,15.666,0.574,5.334,0.581,0.004,1.93,0.001,3.101
USygt23.F.418490,USA,35.087,14.877,9.926,0.008,3.802,0.688,3.956,11.407,0.002,1.949,0.01,1.629
USBldAdlt6.418795,USA,13.116,40.379,36.487,0.013,1.97,0.009,0.439,0.07,0.001,2.469,0.17,0.161
USygt45.M.418662,USA,26.028,13.949,13.731,0.005,1.273,0.009,6.362,0.048,0.002,2.434,2.803,7.701
USygt35.M.418364,USA,7.265,4.74,47.557,0.002,12.746,4.171,1.131,0.001,9.981,4.479,0.857,0.768
USygt44.F.418709,USA,27.006,1.137,20.194,0.014,14.642,7.827,10.816,0.024,2.446,2.598,1.479,5.646
USygt49.M.418347,USA,8.727,45.121,27.065,0.019,9.787,0.017,2.448,0.047,0.007,1.1,0.045,1.782
USygt39.M.418483,USA,48.318,5.025,18.178,0.007,6.473,0.441,1.047,1.165,0.002,4.172,5.253,3.164
USygt25.M.418835,USA,5.965,19.948,10.176,5.204,1.583,10.385,3.399,2.007,6.833,2.688,1.043,1.796
USygt41.M.418492,USA,22.034,31.07,22.16,0.003,3.104,0.018,2.007,6.08,0.003,1.367,1.498,0.811
USygt50.M.418681,USA,31.318,4.51,22.119,0.004,12.418,4.52,0.004,0.973,5.579,4.836,0.494,3.129
USchp35Mom.418515,USA,19.727,31.031,13.472,0.017,2.679,11.753,0.54,1.572,6.585,2.53,1.942,0.517
F4T1pre4.418431,USA,49.618,3.892,2.482,0.009,1.674,4.049,4.37,0.17,1.334,0.261,2.451,5.627
h10M.1.418706,Malawi,0.245,11.444,6.64,38.183,0.289,0.03,0.256,1.711,3.465,0.499,2.163,0.713
USygt45.F.418753,USA,48.999,1.334,12.807,0.003,3.813,1.196,4.972,0.706,0.001,1.561,2.316,4.563
USygt7.M.418598,USA,63.475,1.927,8.439,0.025,1.273,3.065,1.625,0.18,8.336,1.446,1.651,3.376
